time_step,workpiece_id,step_idx,workcell_id,production_time,actual_quality,qc_wc_1_results,qc_wc_1_time,qc_wc_2_results,qc_wc_2_time,qc_wc_3_results,qc_wc_3_time,qc_wc_4_results,qc_wc_4_time,qc_wc_5_results,qc_wc_5_time,qc_wc_6_results,qc_wc_6_time,qc_wc_7_results,qc_wc_7_time,qc_wc_8_results,qc_wc_8_time,qc_wc_9_results,qc_wc_9_time,qc_wc_10_results,qc_wc_10_time,qc_wc_11_results,qc_wc_11_time,qc_wc_12_results,qc_wc_12_time,qc_wc_13_results,qc_wc_13_time,qc_wc_14_results,qc_wc_14_time,qc_wc_15_results,qc_wc_15_time,qc_wc_16_results,qc_wc_16_time,qc_wc_17_results,qc_wc_17_time
0.0,wp_1,1.0,wc_1,66.0,"{'Pass': 10, 'Fail': 90}",['Fail'],24.0,['Pass'],40.0,['Fail'],31.0,['Fail'],30.0,['Fail'],40.0,['Fail'],31.0,['Fail'],34.0,['Fail'],37.0,['Fail'],40.0,['Fail'],32.0,['Fail'],29.0,['Fail'],24.0,['Fail'],38.0,['Fail'],38.0,['Fail'],39.0,['Fail'],23.0,['Fail'],34.0
66.0,wp_2,1.0,wc_1,71.0,"{'Pass': 95, 'Fail': 5}",['Pass'],34.0,['Pass'],24.0,['Pass'],34.0,['Pass'],25.0,['Pass'],40.0,['Pass'],31.0,['Fail'],32.0,['Pass'],24.0,['Pass'],26.0,['Pass'],29.0,['Pass'],36.0,['Pass'],29.0,['Pass'],32.0,['Pass'],39.0,['Pass'],36.0,['Pass'],36.0,['Pass'],21.0
138.0,wp_2,2.0,wc_2,54.0,"{'Pass': 23, 'Fail': 77}",['Fail'],26.0,['Pass'],29.0,['Fail'],25.0,['Fail'],24.0,['Fail'],35.0,['Fail'],39.0,['Fail'],30.0,['Fail'],23.0,['Fail'],28.0,['Fail'],27.0,['Fail'],21.0,['Fail'],35.0,['Fail'],25.0,['Fail'],22.0,['Fail'],33.0,['Fail'],30.0,['Fail'],30.0
137.0,wp_3,1.0,wc_1,75.0,"{'Pass': 70, 'Fail': 30}",['Pass'],24.0,['Fail'],40.0,['Pass'],28.0,['Fail'],28.0,['Fail'],29.0,['Pass'],31.0,['Pass'],27.0,['Pass'],20.0,['Fail'],38.0,['Pass'],29.0,['Pass'],40.0,['Pass'],25.0,['Fail'],26.0,['Pass'],39.0,['Pass'],36.0,['Fail'],39.0,['Pass'],24.0
213.0,wp_3,4.0,wc_4,57.0,"{'Pass': 41, 'Fail': 59}",['Pass'],26.0,['Pass'],25.0,['Pass'],25.0,['Pass'],31.0,['Pass'],22.0,['Fail'],31.0,['Fail'],33.0,['Pass'],26.0,['Fail'],27.0,['Fail'],32.0,['Pass'],31.0,['Pass'],23.0,['Fail'],40.0,['Fail'],27.0,['Pass'],38.0,['Fail'],22.0,['Fail'],27.0
212.0,wp_4,1.0,wc_1,60.0,"{'Pass': 53, 'Fail': 47}",['Fail'],31.0,['Fail'],22.0,['Fail'],38.0,['Pass'],37.0,['Fail'],32.0,['Fail'],28.0,['Pass'],32.0,['Fail'],39.0,['Fail'],22.0,['Pass'],27.0,['Pass'],33.0,['Pass'],28.0,['Fail'],35.0,['Fail'],33.0,['Fail'],21.0,['Fail'],38.0,['Fail'],29.0
193.0,wp_2,2.0,wc_2,80.0,"{'Pass': 34, 'Fail': 66}",['Pass'],39.0,['Pass'],29.0,['Pass'],20.0,['Fail'],20.0,['Fail'],23.0,['Fail'],27.0,['Fail'],32.0,['Fail'],29.0,['Fail'],24.0,['Fail'],27.0,['Pass'],22.0,['Pass'],40.0,['Fail'],31.0,['Fail'],23.0,['Pass'],23.0,['Fail'],24.0,['Fail'],24.0
272.0,wp_5,1.0,wc_1,50.0,"{'Pass': 79, 'Fail': 21}",['Pass'],32.0,['Pass'],40.0,['Pass'],21.0,['Fail'],26.0,['Pass'],39.0,['Fail'],29.0,['Fail'],35.0,['Pass'],20.0,['Fail'],23.0,['Pass'],27.0,['Pass'],34.0,['Pass'],38.0,['Fail'],22.0,['Fail'],27.0,['Pass'],29.0,['Pass'],40.0,['Pass'],22.0
271.0,wp_3,4.0,wc_4,52.0,"{'Pass': 80, 'Fail': 20}",['Pass'],29.0,['Pass'],34.0,['Pass'],38.0,['Pass'],24.0,['Pass'],39.0,['Fail'],30.0,['Pass'],36.0,['Pass'],37.0,['Pass'],33.0,['Pass'],28.0,['Pass'],20.0,['Pass'],38.0,['Fail'],24.0,['Fail'],38.0,['Fail'],26.0,['Pass'],23.0,['Pass'],34.0
273.0,wp_4,2.0,wc_2,66.0,"{'Pass': 34, 'Fail': 66}",['Fail'],30.0,['Fail'],22.0,['Fail'],39.0,['Fail'],31.0,['Fail'],31.0,['Fail'],28.0,['Fail'],28.0,['Fail'],24.0,['Pass'],33.0,['Fail'],20.0,['Pass'],29.0,['Pass'],31.0,['Fail'],31.0,['Fail'],20.0,['Fail'],26.0,['Fail'],32.0,['Fail'],23.0
